#YY	MM	DD	hh	mm	WDI	R WSP	D GST	WVHT	DPD	APD	MWD	PRES	ATMP	WTMP	DEWP	VIS	TIDE
2021	1	1	20	6	344	1.6	2.1	99	99	99	999	1030.3	2.8	6.8	999	99	99
2021	1	1	20	12	6	1.5	2.1	99	99	99	999	1029.9	2.7	6.7	999	99	99
2021	1	1	20	18	26	1.8	2	99	99	99	999	1029.8	2.8	6.8	999	99	99
2021	1	1	20	24	29	0.7	2.2	99	99	99	999	1029.7	2.8	6.7	999	99	99
2021	1	1	20	30	4	1.6	2	99	99	99	999	1029.7	2.8	6.7	999	99	99
2021	1	1	20	36	2	1.6	2.2	99	99	99	999	1029.8	2.8	6.8	999	99	99
2021	1	1	20	42	17	1.6	2.2	99	99	99	999	1029.8	2.8	6.7	999	99	99
2021	1	1	20	48	25	1.4	2.1	99	99	99	999	1029.8	2.8	6.8	999	99	99
2021	1	1	20	54	17	1.2	1.7	99	99	99	999	1029.7	2.9	6.7	999	99	99
2021	1	1	21	0	22	1.4	1.8	99	99	99	999	1029.7	2.9	6.8	999	99	99
2021	1	1	21	6	14	0.9	1.6	99	99	99	999	1029.7	2.8	6.7	999	99	99
2021	1	1	21	12	47	0.7	1.2	99	99	99	999	1029.7	2.8	6.7	999	99	99
2021	1	1	21	18	34	0.8	1.2	99	99	99	999	1029.5	2.8	6.7	999	99	99
2021	1	1	21	24	45	0.5	1.1	99	99	99	999	1029.5	2.8	6.7	999	99	99
2021	1	1	21	30	5	0.4	0.6	99	99	99	999	1029.4	2.8	6.7	999	99	99
2021	1	1	21	36	23	0.9	1	99	99	99	999	9999	2.8	6.7	999	99	99
2021	1	1	21	42	40	0.8	1.1	99	99	99	999	9999	2.8	6.7	999	99	99
2021	1	1	21	48	43	1.2	1.4	99	99	99	999	9999	2.8	6.7	999	99	99
2021	1	1	21	54	49	1.1	1.3	99	99	99	999	9999	2.7	6.7	999	99	99
2021	1	1	22	0	47	1	1.3	99	99	99	999	9999	2.7	6.7	999	99	99
2021	1	1	22	6	36	0.8	1.2	99	99	99	999	1028.7	2.8	6.7	999	99	99
2021	1	1	22	12	40	1.3	1.6	99	99	99	999	1028.6	2.8	6.7	999	99	99
2021	1	1	22	18	36	1.4	1.8	99	99	99	999	1028.5	2.8	6.7	999	99	99
2021	1	1	22	24	24	1.5	1.7	99	99	99	999	1028.6	2.7	6.7	999	99	99
2021	1	1	22	30	6	1.2	1.6	99	99	99	999	1028.7	2.8	6.7	999	99	99
2021	1	1	22	36	5	1.1	2	99	99	99	999	1028.8	2.8	6.7	999	99	99
2021	1	1	22	42	355	0.9	1.5	99	99	99	999	1028.9	2.8	6.7	999	99	99
2021	1	1	22	48	14	0.8	1.5	99	99	99	999	1028.9	2.8	6.7	999	99	99
2021	1	1	22	54	44	1.3	1.4	99	99	99	999	1028.6	2.9	6.7	999	99	99
2021	1	1	23	0	26	1.1	1.6	99	99	99	999	1028.6	2.9	6.6	999	99	99
2021	1	1	23	6	36	1.2	1.5	99	99	99	999	1028.5	2.9	999	999	99	99
2021	1	1	23	12	40	1.4	1.8	99	99	99	999	1028.2	2.8	999	999	99	99
2021	1	1	23	18	35	1.4	1.7	99	99	99	999	1028.1	2.8	999	999	99	99
2021	1	1	23	24	41	1.6	1.8	99	99	99	999	1028.1	2.7	6.6	999	99	99
2021	1	1	23	30	38	1.5	2.1	99	99	99	999	1027.9	2.6	6.6	999	99	99
2021	1	1	23	36	27	1.4	1.8	99	99	99	999	1028	2.7	6.6	999	99	99
2021	1	1	23	42	34	1.2	1.8	99	99	99	999	1028.1	2.7	6.6	999	99	99
2021	1	1	23	48	30	0.8	1.5	99	99	99	999	1028.3	2.7	6.6	999	99	99
2021	1	1	23	54	49	1	1.2	99	99	99	999	1028.1	2.7	6.6	999	99	99
2021	1	2	0	0	27	0.9	1.1	99	99	99	999	1028.2	2.8	6.6	999	99	99
2021	1	2	0	6	19	0.8	1.1	99	99	99	999	1028.1	2.8	6.6	999	99	99
2021	1	2	0	12	29	1.2	1.3	99	99	99	999	1028	2.9	6.6	999	99	99
2021	1	2	0	18	34	1.7	1.9	99	99	99	999	1027.6	2.9	6.6	999	99	99
2021	1	2	0	24	28	1.8	2.3	99	99	99	999	1027.5	2.8	6.6	999	99	99
2021	1	2	0	30	29	2	2.4	99	99	99	999	1027.3	2.9	6.6	999	99	99
2021	1	2	0	36	21	2	2.3	99	99	99	999	1027.3	2.8	6.6	999	99	99
