Tank,Timepoint,Date,Calib.Date,Temperature,pH.MV,Salinity,Light,Flow_mL_sec,Treatment,Notes 
Tank2,2/4/21,20210204,20210203,8.14,-53.1,30.94,NA,NA,Acclimation,
Tank3,2/4/21,20210204,20210203,8.49,-53.8,30.9,NA,NA,Acclimation,
Tank4,2/4/21,20210204,20210203,8.29,-53.1,30.91,NA,NA,Acclimation,
Tank5,2/4/21,20210204,20210203,8.61,-53.7,30.89,NA,NA,Acclimation,
Tank6,2/4/21,20210204,20210203,8.35,-52.8,30.92,NA,NA,Acclimation,
Tank7,2/4/21,20210204,20210203,8.07,-53.2,30.88,NA,NA,Acclimation,
Tank8,2/4/21,20210204,20210203,8.2,-54.1,30.85,NA,NA,Acclimation,
Tank9,2/4/21,20210204,20210203,8.2,-52.3,30.91,NA,NA,Acclimation,
Tank10,2/4/21,20210204,20210203,8.03,-52.7,30.46,NA,NA,Acclimation,
Tank11,2/4/21,20210204,20210203,8.27,-53.6,30.89,NA,NA,Acclimation,
Tank12,2/4/21,20210204,20210203,8.05,-53.2,30.93,NA,NA,Acclimation,
Tank15,2/4/21,20210204,20210203,7.74,-53.7,30.79,NA,NA,Acclimation,
Tank16,2/4/21,20210204,20210203,8.03,-53.7,30.86,NA,NA,Acclimation,
Tank17,2/4/21,20210204,20210203,7.47,-53.7,30.86,NA,NA,Acclimation,
Tank18,2/4/21,20210204,20210203,7.81,-53.8,30.92,NA,NA,Acclimation,
Tank1,2/5/21,20210205,20210205,8.23,-54.1,30.81,97.8,NA,Acclimation,
Tank2,2/5/21,20210205,20210205,8.46,-53.9,30.9,104.6,NA,Acclimation,
Tank3,2/5/21,20210205,20210205,8.28,-54,30.93,95.4,NA,Acclimation,
Tank4,2/5/21,20210205,20210205,8.31,-53.3,30.92,103.2,NA,Acclimation,
Tank5,2/5/21,20210205,20210205,8.59,-54.1,30.34,98.8,NA,Acclimation,
Tank6,2/5/21,20210205,20210205,8.53,-52.8,30.92,108,NA,Acclimation,
Tank7,2/5/21,20210205,20210205,8.07,-53.8,30.9,106.6,NA,Acclimation,
Tank8,2/5/21,20210205,20210205,7.92,-54.2,30.85,87.8,NA,Acclimation,
Tank9,2/5/21,20210205,20210205,8.41,-52.8,30.85,117.2,NA,Acclimation,
Tank10,2/5/21,20210205,20210205,8.07,-54,30.86,107.4,NA,Acclimation,
Tank11,2/5/21,20210205,20210205,8.32,-54,30.96,98.6,NA,Acclimation,
Tank12,2/5/21,20210205,20210205,8.11,-54.2,30.81,101.2,NA,Acclimation,
Tank15,2/5/21,20210205,20210205,7.77,-54.4,30.84,108.6,NA,Acclimation,
Tank16,2/5/21,20210205,20210205,7.87,30.84,-54,119.2,NA,Acclimation,
Tank17,2/5/21,20210205,20210205,7.23,-54.2,30.78,116.8,NA,Acclimation,
Tank18,2/5/21,20210205,20210205,7.78,-54,30.87,96.4,NA,Acclimation,
Tank1,2/6/21,20210206,20210205,7.98,-52.7,31.07,NA,NA,Ambient,Started treatments
Tank2,2/6/21,20210206,20210205,8.5,-59.2,31.6,NA,NA,Ambient,Started treatments
Tank3,2/6/21,20210206,20210205,8.6,-53.7,31.52,NA,NA,Heat,Started treatments
Tank4,2/6/21,20210206,20210205,8.43,-53.3,31.42,NA,NA,Ambient,Started treatments
Tank5,2/6/21,20210206,20210205,8.57,-53,31.58,NA,NA,Heat,Started treatments
Tank6,2/6/21,20210206,20210205,8.37,-53.2,31.41,NA,NA,Heat,Started treatments
Tank7,2/6/21,20210206,20210205,8.02,-53.2,31.46,NA,NA,Heat,Started treatments
Tank8,2/6/21,20210206,20210205,8.12,-53.8,31.33,NA,NA,Ambient,Started treatments
Tank9,2/6/21,20210206,20210205,8.27,-52.5,31.45,NA,NA,Heat,Started treatments
Tank10,2/6/21,20210206,20210205,7.99,-52.8,31.57,NA,NA,Ambient,Started treatments
Tank11,2/6/21,20210206,20210205,8.26,-53.2,31.84,NA,NA,Heat,Started treatments
Tank12,2/6/21,20210206,20210205,8.22,-54.4,31.39,NA,NA,Ambient,Started treatments
Tank15,2/6/21,20210206,20210205,7.75,-54,31.39,NA,NA,Heat,Started treatments
Tank16,2/6/21,20210206,20210205,7.81,-53.2,31.45,NA,NA,Ambient,Started treatments
Tank17,2/6/21,20210206,20210205,7.56,-53.5,31.43,NA,NA,Heat,Started treatments
Tank18,2/6/21,20210206,20210205,7.81,-53.2,31.55,NA,NA,Ambient,Started treatments
Tank1,2/9/21,20210209,20210205,4.98,-55.1,31.26,109,NA,Ambient,
Tank2,2/9/21,20210209,20210205,5.52,-54.7,31.12,111,NA,Ambient,
