"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","AST-1065","AST-1147","AST-1412","AST-1560","AST-1567","AST-1617","AST-1722","AST-2000","AST-2007","AST-2302","AST-2360","AST-2398","AST-2404","AST-2412","AST-2512","AST-2523","AST-2563","AST-2729","AST-2755"
"::chromosome_6:11774019-11778563",671.378332125173,-0.802208798408296,0.233565837242162,-3.43461530110913,0.000593395570338613,0.0186876771704286,1613,1520,794,97,308,1081,894,530,1469,1622,734,910,1412,1322,325,1160,1107,109,108
"::chromosome_10:19915798-19917271",39.938941236337,-2.94606793319826,0.853275738723597,-3.45265639171371,0.000555095595957869,0.0180456716094698,12,5,100,13,2,159,11,4,140,225,31,9,94,8,5,61,62,9,7
"::chromosome_7:30533740-30537673",153.050634746961,1.11988491644889,0.302316586876551,3.70434493197751,0.000211937708294746,0.0090420072730748,223,883,154,5,192,318,625,45,245,275,243,565,213,238,37,211,249,19,15
"::chromosome_10:14591879-14619278",371.533003957429,1.18161132138618,0.355157578876595,3.32700579028541,0.000877845493872497,0.0236476874986764,468,1233,332,51,370,589,2150,216,535,478,510,919,447,425,113,433,391,134,42
"::chromosome_5:18918758-18922005",56.5970636978334,2.43802474672055,0.584324777745269,4.17237953887245,3.01434972836333e-05,0.00226584980636256,40,120,55,14,119,113,145,15,86,59,172,279,41,22,7,75,33,4,7
"::chromosome_11:3064367-3068957",243.309435593833,1.07136192921573,0.28341986188833,3.78012296695655,0.000156750923122608,0.00731025574719704,227,1030,247,34,253,429,728,130,404,480,294,788,213,300,77,361,278,72,42
"::chromosome_12:34092833-34096985",185.59760810156,-1.51688318739018,0.363475187563604,-4.17327850508293,3.00247545911845e-05,0.00226584980636256,730,288,134,12,91,289,151,61,563,350,221,145,434,583,84,486,341,26,46
"::chromosome_3:17834584-17847649",115.291814368098,-2.66426308445726,0.829721531522021,-3.21103283841508,0.00132258820139925,0.0313740463487718,60,62,112,23,93,225,56,32,156,5,128,21,208,391,199,158,400,16,3
"::chromosome_11:23025093-23034200",26.9570275563015,-2.32172930692116,0.740940790722187,-3.1334883110676,0.00172741798606897,0.037945686093488,62,39,7,0,18,8,25,9,58,37,11,14,54,32,76,45,39,7,2
"::chromosome_9:17615824-17617188",13.206352913413,5.4741246506013,1.32989960876452,4.11619389503151,3.85180305000971e-05,0.00263922582061242,13,27,0,1,15,4,332,2,4,46,13,13,0,1,0,7,5,0,0
"::chromosome_7:28666133-28669147",62.2869069047464,1.24501845874159,0.339772007369961,3.6642761373392,0.000248039072772712,0.0101117072801965,120,332,88,2,59,102,240,23,106,89,61,207,112,56,14,100,62,17,14
