"","id","read_count_1065","read_count_1147","read_count_1412","read_count_1560","read_count_1567","read_count_1617","read_count_1722","read_count_2000","read_count_2007","read_count_2302","read_count_2360","read_count_2398","read_count_2404","read_count_2412","read_count_2512","read_count_2523","read_count_2563","read_count_2729"
"1671","chromosome_8_296814",3,30,0,0,3,4,2,0,2,9,0,0,4,1,0,2,3,0
"1672","chromosome_8_296902",0,8,1,0,1,0,2,0,0,0,0,1,0,0,0,0,2,0
"1673","chromosome_8_296920",1,19,1,0,2,5,6,1,0,6,1,4,15,2,0,1,1,0
"1674","chromosome_8_296957",32,328,16,7,3,60,82,6,35,83,1,42,6,10,0,3,4,13
"1675","chromosome_8_297107",0,0,0,3,0,1,0,1,0,0,2,1,1,0,4,0,5,0
"1676","chromosome_8_297578",22,7,32,12,16,4,2,36,20,26,7,10,11,29,65,29,20,6
"1677","chromosome_8_298269",0,11,3,0,2,0,6,1,0,1,1,2,6,0,0,2,1,0
"1678","chromosome_8_298375",0,1,0,0,2,0,0,1,3,4,0,2,0,3,0,1,2,0
"1679","chromosome_8_298377",18,391,101,7,103,54,324,108,49,167,15,79,82,20,9,42,16,22
"1680","chromosome_8_298424",0,2,0,0,0,2,6,0,0,1,0,0,0,0,0,0,0,0
"1681","chromosome_8_299627",4,66,1,0,7,7,13,2,2,11,0,62,8,5,0,2,8,4
"1682","chromosome_8_299632",9,720,10,0,18,10,83,8,14,21,4,44,94,1,2,2,9,2
"1683","chromosome_8_300328",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"1684","chromosome_8_301133",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1685","chromosome_8_302070",0,16,2,0,2,1,4,0,0,0,0,0,3,0,0,0,0,0
"1686","chromosome_8_303252",2,1,0,0,0,0,0,2,0,2,0,1,3,0,0,0,0,0
"1687","chromosome_8_303446",0,3,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0
"1688","chromosome_8_303608",2,3,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0
"1689","chromosome_8_304457",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"1690","chromosome_8_305196",0,13,0,0,2,0,6,1,0,4,1,8,2,0,0,2,1,0
