YYYY	MM	DD	hh	WD	WSP	D GST	WVHT	DPD	APD	MWD	BAR	ATMP	WTMP	DEWP	VIS	TIDE
2004	11	14	4	16	5.4	12.6	99	99	99	999	1033.2	0.9	9.3	999	99	99
2004	11	14	5	10	7.2	12.8	99	99	99	999	1033.6	0.4	9.4	999	99	99
2004	11	14	6	20	7.2	13	99	99	99	999	1034.1	0	9.4	999	99	99
2004	11	14	7	9	6.8	10.8	99	99	99	999	1034.5	-0.7	9.4	999	99	99
2004	11	14	8	6	6.5	9.6	99	99	99	999	1034.9	-1.4	9.4	999	99	99
2004	11	14	11	15	6.7	10.1	99	99	99	999	1036.3	-1.8	9.1	999	99	99
2004	11	14	12	355	4.5	10.5	99	99	99	999	1036.8	-1.1	9.4	999	99	99
2004	11	14	13	27	6	9.3	99	99	99	999	1037.5	-0.2	9.4	999	99	99
2004	11	14	14	12	5.9	11.8	99	99	99	999	1037.5	1.2	8.3	999	99	99
2004	11	14	15	12	6.2	10	99	99	99	999	1037.1	2.5	7.9	999	99	99
2004	11	14	16	15	5.1	8.9	99	99	99	999	1036.2	4	8.3	999	99	99
2004	11	14	17	18	4.6	6.5	99	99	99	999	1034.8	5.2	8.5	999	99	99
2004	11	14	18	3	4.3	6.7	99	99	99	999	1033.9	6.7	8.3	999	99	99
2004	11	14	19	3	4.8	7.4	99	99	99	999	1033.1	7.7	8.4	999	99	99
2004	11	14	20	322	5.9	7.3	99	99	99	999	1032.7	8	8.5	999	99	99
2004	11	14	21	329	4	7.5	99	99	99	999	1032.5	7.7	8.5	999	99	99
2004	11	14	22	302	3	4.1	99	99	99	999	1032.4	6.6	8.5	999	99	99
2004	11	14	23	306	3.4	5.4	99	99	99	999	1032.3	6.2	8.4	999	99	99
2004	11	15	0	324	3.2	7.1	99	99	99	999	1032.5	5.9	9	999	99	99
2004	11	15	1	333	2.1	4.2	99	99	99	999	1032.6	5.6	8.6	999	99	99
2004	11	15	2	322	3	5.1	99	99	99	999	1032.5	5.3	8.6	999	99	99
2004	11	15	3	354	4.3	5.6	99	99	99	999	1032.3	5.4	8.4	999	99	99
2004	11	15	4	5	2	4.8	99	99	99	999	1032	5	8.5	999	99	99
2004	11	15	5	356	3.3	5.6	99	99	99	999	1031.8	4.7	8.4	999	99	99
2004	11	15	6	357	2.5	4.4	99	99	99	999	1031.7	4.6	8.7	999	99	99
2004	11	15	7	357	4.3	5.5	99	99	99	999	1031.8	4.2	8.7	999	99	99
2004	11	15	8	351	1.7	3.1	99	99	99	999	1031.2	3.9	8.7	999	99	99
2004	11	15	10	356	4.7	7.2	99	99	99	999	1031	4.2	8.4	999	99	99
2004	11	15	11	354	4	6.6	99	99	99	999	1031	4	8.6	999	99	99
2004	11	15	12	7	4.1	6.9	99	99	99	999	1031.1	4.8	8.7	999	99	99
2004	11	15	13	11	3.8	5.8	99	99	99	999	1031.8	6.3	8.8	999	99	99
2004	11	15	14	4	4.5	6.7	99	99	99	999	1031.7	8.6	9	999	99	99
2004	11	15	15	13	5	8.8	99	99	99	999	1031.3	8.8	8.7	999	99	99
2004	11	15	16	15	3.9	5.9	99	99	99	999	1030.2	9.6	8.8	999	99	99
2004	11	15	17	22	4.9	7.9	99	99	99	999	1029.6	10.4	8.8	999	99	99
2004	11	15	18	19	3.7	5.4	99	99	99	999	1028.8	11.3	9	999	99	99
2004	11	15	19	19	0.6	3.6	99	99	99	999	1028	12.7	9.4	999	99	99
2004	11	15	20	48	0.1	0.6	99	99	99	999	1027.9	11.6	9	999	99	99
2004	11	15	21	217	0	99	99	99	99	999	1028.1	11.2	9.4	999	99	99
2004	11	15	22	222	0	99	99	99	99	999	1028.4	10.6	9.3	999	99	99
2004	11	15	23	241	0	99	99	99	99	999	1028.3	9.4	9.5	999	99	99
2004	11	16	0	288	0.9	3.3	99	99	99	999	1028	9.3	9.6	999	99	99
2004	11	16	1	304	2.6	4.8	99	99	99	999	1027.8	8.9	9.8	999	99	99
2004	11	16	2	323	3.4	4.4	99	99	99	999	1027.6	7.7	10.2	999	99	99
2004	11	16	3	335	2.3	4.7	99	99	99	999	1027.3	7.4	9.1	999	99	99
2004	11	16	4	8	1.8	3.3	99	99	99	999	1027.4	7.1	9	999	99	99
2004	11	16	5	6	3.1	5.5	99	99	99	999	1027.4	7.4	9.1	999	99	99
2004	11	16	6	349	3.4	4.9	99	99	99	999	1027.1	7	9	999	99	99
2004	11	16	7	355	2.2	4.1	99	99	99	999	1027.4	7	9.2	999	99	99
2004	11	16	9	21	3.6	5.2	99	99	99	999	1027.5	6.6	9.1	999	99	99
2004	11	16	10	22	2.8	3.9	99	99	99	999	1027.9	6	9	999	99	99
2004	11	16	12	12	0.1	3.2	99	99	99	999	1028.3	6.1	9.1	999	99	99
